page	chars
1	1
2	1
3	1063
4	1153
5	1166
6	2557
7	2413
8	2829
9	2480
10	2547
11	2894
12	2228
13	2638
14	2162
15	2774
16	2441
17	3013
18	2455
19	3137
20	2542
21	3177
22	2812
23	2816
24	2288
25	2170
26	2855
27	2518
28	1890
29	2428
30	2221
31	2895
32	2299
33	2951
34	2666
35	2594
36	2787
37	2652
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	1975
57	2241
58	1814
59	0
60	0
61	753
