page	chars
1	1
2	0
3	404
4	826
5	2445
6	2127
7	2704
8	2239
9	2013
10	2217
11	1537
12	2
13	641
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	284
25	2
26	2
27	2
28	2
29	2
30	0
31	2
32	1181
